Year/Month/Day,Recreation Visits
1/1/1986,24708
2/1/1986,29684
3/1/1986,20165
4/1/1986,21681
5/1/1986,147767
6/1/1986,427968
7/1/1986,663205
8/1/1986,614295
9/1/1986,295089
10/1/1986,94106
11/1/1986,6414
12/1/1986,18674
1/1/1987,27238
2/1/1987,32559
3/1/1987,12310
4/1/1987,31938
5/1/1987,185705
6/1/1987,447465
7/1/1987,685128
8/1/1987,626537
9/1/1987,361842
10/1/1987,122637
11/1/1987,19842
12/1/1987,19993
1/1/1988,25706
2/1/1988,35936
3/1/1988,18470
4/1/1988,22999
5/1/1988,175285
6/1/1988,442400
7/1/1988,636295
8/1/1988,440130
9/1/1988,176833
10/1/1988,170504
11/1/1988,18510
12/1/1988,19045
1/1/1989,24328
2/1/1989,30768
3/1/1989,22163
4/1/1989,25292
5/1/1989,216163
6/1/1989,467193
7/1/1989,696587
8/1/1989,608248
9/1/1989,403579
10/1/1989,123454
11/1/1989,6791
12/1/1989,19876
1/1/1990,25884
2/1/1990,33285
3/1/1990,19372
4/1/1990,29242
5/1/1990,203712
6/1/1990,526586
7/1/1990,760520
8/1/1990,674454
9/1/1990,414563
10/1/1990,111145
11/1/1990,8117
12/1/1990,16692
1/1/1991,28851
2/1/1991,38050
3/1/1991,19946
4/1/1991,19875
5/1/1991,188798
6/1/1991,499107
7/1/1991,796656
8/1/1991,721103
9/1/1991,432948
10/1/1991,144944
11/1/1991,6261
12/1/1991,23998
1/1/1992,33552
2/1/1992,40245
3/1/1992,19615
4/1/1992,51933
5/1/1992,257951
6/1/1992,539959
7/1/1992,799411
8/1/1992,742879
9/1/1992,462788
10/1/1992,159842
11/1/1992,8646
12/1/1992,27584
1/1/1993,38100
2/1/1993,44049
3/1/1993,31768
4/1/1993,24013
5/1/1993,191222
6/1/1993,525378
7/1/1993,768164
8/1/1993,714408
9/1/1993,401124
10/1/1993,125107
11/1/1993,18899
12/1/1993,29961
1/1/1994,40757
2/1/1994,44946
3/1/1994,27859
4/1/1994,36280
5/1/1994,233737
6/1/1994,541704
7/1/1994,831152
8/1/1994,731012
9/1/1994,414848
10/1/1994,106646
11/1/1994,7953
12/1/1994,29251
1/1/1995,40868
2/1/1995,48034
3/1/1995,21157
4/1/1995,26147
5/1/1995,201797
6/1/1995,550978
7/1/1995,847003
8/1/1995,773307
9/1/1995,468062
10/1/1995,128483
11/1/1995,11635
12/1/1995,7814
1/1/1996,32871
2/1/1996,51692
3/1/1996,27162
4/1/1996,24321
5/1/1996,187045
6/1/1996,539368
7/1/1996,818964
8/1/1996,753934
9/1/1996,426806
10/1/1996,118902
11/1/1996,10473
12/1/1996,20633
1/1/1997,31155
2/1/1997,42392
3/1/1997,19324
4/1/1997,21526
5/1/1997,191985
6/1/1997,512895
7/1/1997,774327
8/1/1997,737973
9/1/1997,403184
10/1/1997,120266
11/1/1997,9983
12/1/1997,24503
1/1/1998,33845
2/1/1998,43032
3/1/1998,17894
4/1/1998,29689
5/1/1998,222385
6/1/1998,549396
7/1/1998,829683
8/1/1998,764238
9/1/1998,445741
10/1/1998,150079
11/1/1998,9106
12/1/1998,25742
1/1/1999,34346
2/1/1999,41120
3/1/1999,23067
4/1/1999,27128
5/1/1999,203727
6/1/1999,580624
7/1/1999,832685
8/1/1999,760062
9/1/1999,445057
10/1/1999,142049
11/1/1999,16230
12/1/1999,25286
1/1/2000,37301
2/1/2000,47573
3/1/2000,20404
4/1/2000,27869
5/1/2000,214814
6/1/2000,553892
7/1/2000,768040
8/1/2000,634104
9/1/2000,353728
10/1/2000,139784
11/1/2000,13422
12/1/2000,27302
1/1/2001,44356
2/1/2001,48980
3/1/2001,18485
4/1/2001,28341
5/1/2001,229085
6/1/2001,507737
7/1/2001,724735
8/1/2001,613965
9/1/2001,373583
10/1/2001,121958
11/1/2001,19585
